Nodes,Pesticide_Max_Node,Refill_time,Max_num_drones,Seed,Total_time,Max_trips,Cost,Gap,Time
4.0,10.0,90.0,3.0,2.0,249.97132805825265,1.0,542.1108645882573,0.0,0.06156206130981445
4.0,10.0,90.0,3.0,3.0,319.976400520091,1.0,684.518165451646,0.0,0.06406044960021973
4.0,10.0,90.0,3.0,4.0,414.7429866418264,1.0,735.3711935875374,0.0,0.07457160949707031
4.0,10.0,90.0,4.0,0.0,264.5357681853127,1.0,490.76426685191916,0.0,0.1481459140777588
4.0,10.0,90.0,4.0,1.0,233.55571226593204,1.0,687.6456268889706,0.0,0.11118459701538086
4.0,10.0,90.0,4.0,2.0,230.613223062641,1.0,444.6708834656149,0.0,0.10960578918457031
4.0,10.0,90.0,4.0,3.0,256.9718521859852,1.0,530.5867557254999,0.0,0.14914560317993164
4.0,10.0,90.0,4.0,4.0,279.6851848670882,1.0,562.7756462806173,0.0,0.08558106422424316
4.0,12.0,30.0,2.0,0.0,539.7871017279674,3.0,1044.4614047110717,0.0,1.6928181648254395
4.0,12.0,30.0,2.0,1.0,454.0942081833937,2.0,1138.5628453458157,0.0,0.2778971195220947
4.0,12.0,30.0,2.0,2.0,364.34632243913927,2.0,858.0297967114093,0.0,0.2762174606323242
4.0,12.0,30.0,2.0,3.0,502.76410365735717,2.0,1254.6037952118108,0.0,0.37485408782958984
4.0,12.0,30.0,2.0,4.0,633.17143025923,2.0,1170.4736416514452,0.0,0.3063814640045166
4.0,12.0,30.0,3.0,0.0,406.2984855180479,2.0,694.3084325478857,0.0,1.0671539306640625
4.0,12.0,30.0,3.0,1.0,269.7818115710387,1.0,769.0496287170199,0.0,0.08057975769042969
4.0,12.0,30.0,3.0,2.0,323.569506841726,2.0,633.1373181418031,0.0,0.7858123779296875
4.0,12.0,30.0,3.0,3.0,370.06744063777023,2.0,776.3763909847156,0.0,0.7887556552886963
4.0,12.0,30.0,3.0,4.0,419.4345179234617,2.0,760.9549193615911,0.0,0.5517873764038086
4.0,12.0,30.0,4.0,0.0,349.7170987302565,2.0,589.3353069922774,0.0,1.3742434978485107
4.0,12.0,30.0,4.0,1.0,269.78181157103865,1.0,707.034666244412,0.0,0.12762069702148438
4.0,12.0,30.0,4.0,2.0,239.5523101312057,1.0,481.31132008847703,0.0,0.11714839935302734
4.0,12.0,30.0,4.0,3.0,319.0128865648509,1.0,634.1455066197472,0.0,0.21744179725646973
4.0,12.0,30.0,4.0,4.0,291.0143804842446,1.0,590.7393437105648,0.0,0.11160850524902344
4.0,12.0,60.0,2.0,0.0,599.7871017279673,3.0,1162.8158358722608,0.0,2.257629871368408
4.0,12.0,60.0,2.0,1.0,484.0942081833937,2.0,1191.9722333123827,0.0,0.20219182968139648
4.0,12.0,60.0,2.0,2.0,394.3463224391394,2.0,946.1649947006256,0.0,0.1965792179107666
4.0,12.0,60.0,2.0,3.0,532.7641036573559,2.0,1340.7312819332278,0.0,0.3107948303222656
4.0,12.0,60.0,2.0,4.0,663.1714302592299,2.0,1203.5547543114692,0.0,0.2239997386932373
4.0,12.0,60.0,3.0,0.0,436.2984855180477,2.0,736.0308872369387,0.0,0.8098282814025879
4.0,12.0,60.0,3.0,1.0,269.7818115710387,1.0,769.0496287170199,0.0,0.08007478713989258
4.0,12.0,60.0,3.0,2.0,351.90060138117957,2.0,672.2277276487708,0.0,0.6772499084472656
4.0,12.0,60.0,3.0,3.0,400.06744063777046,2.0,818.9046150746118,0.0,0.7377145290374756
4.0,12.0,60.0,3.0,4.0,449.3636828349685,2.0,793.8586302544093,0.0,0.485689640045166
4.0,12.0,60.0,4.0,0.0,379.7170987302565,2.0,630.8327616813314,0.0,1.651256799697876
4.0,12.0,60.0,4.0,1.0,269.78181157103865,1.0,707.034666244412,0.0,0.12212181091308594
